id,created_at,favorite_count,retweet_count,text
1376040602249306115,Sun Mar 28 05:16:59 +0000 2021,0,0,"RT @melaniemadri: Model X dance party ⚡️

@elonmusk @tesla https://t.co/d7sbht4qxC"
1376040604472254471,Sun Mar 28 05:17:00 +0000 2021,0,0,"Yang belum kumpul thread jam 1 nanti, saya kenakan denda sebesar harga tesla. Terimakasih 🙏"
1376040614949707780,Sun Mar 28 05:17:02 +0000 2021,0,0,"RT @GenChuckYeager: Q: Did General Yeager want to be a part of the original Mercury 7 astronauts? A: No, he often said the reason was: I di…"
1376040616732323842,Sun Mar 28 05:17:03 +0000 2021,0,0,@Just_InTrades @doge_mom @bholman24930782 @WeTheDoge1 @JustinScerini @NatrlStNative @SlimJim @Chuy338 @Ladybug20984667 @abovewallstreet @BigImpactHumans @elonmusk @DogeDYou @BillyM2k @miakhalifa @Grimezsz @DogecoinRise @MLH_CHD @AudsWorldd @illisavage @pifinity @Polkapolka10 @DogeCoinAud @InspiredBohemia @dogelettuce @lilyachty @AMBASSADORTOUSA @CyberBoo_ @themodern300 @dogecoin_empire @KellyOsbourne @Literofcola3 @TCMATT0515 @kokid951 @lynseaOfCrypto @dogeofficialceo @SpaceXStarship @spacex360 @SpaceFactsWax @mcuban @ChrisKattan https://t.co/hMsFj5818j
1376040618443427842,Sun Mar 28 05:17:03 +0000 2021,0,0,When your tastebuds want sushi but your Tesla hasn’t arrived (insurance and bitcoin pains) so you can’t drive to Ocean Fish in San Gabriel so you guess you’ll try it this way and wish upon your lucky stars and the moon. Future nom nom noms 😋 ahoy 🍣🎣 https://t.co/ktwWy042BU
1376040621157220356,Sun Mar 28 05:17:04 +0000 2021,0,0,@FairneyMike @w_mccan @BretWeinstein @elonmusk Drive a handful of cranes out there and lift it. You only need to get it out of the mud.
1376040627809488900,Sun Mar 28 05:17:05 +0000 2021,0,0,"RT @perereco: Cadê o Elon Musk pra botar uma roupa de homem de ferro e empurrar a porra do navio

Tu não é o doutor Tesla ô filho da puta…"
1376040628564426754,Sun Mar 28 05:17:06 +0000 2021,0,0,"RT @Tesmanian_com: Celebrating the 12th Anniversary of Tesla Model S, the Car that Forever Changed Automotive

https://t.co/G4kLtMF6u0"
1376040628547633152,Sun Mar 28 05:17:06 +0000 2021,0,0,"@davidgokhshtein Mogul partners with Biconomy ahead of STARS token launch and Access Pass sale to provide cutting-edge infrastructure
🌟Website:
https://t.co/N0AWsBXgMg
@mogulproduction #mogulproduction #Tesla #bitcoin #bitcointrading #defi #trading #blockchain #marketing #marketplace https://t.co/kcShIIRRF9"
1376040632955793411,Sun Mar 28 05:17:07 +0000 2021,0,0,"Where is Elon Musk when the world needs him ??

#SuezCrisis"
