id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text,sentiment_polarity,sentiment_subjectivity
0,False,0,1,995,192,,9249,1254,12521,Belgium,[],[],nl,2021-04-12 21:19:33,,@WNiemegeers Jup. Ik liep zo rond tot ik wakker werd en een Tesla kocht 😂,0.0,0.0
1,False,2,2,8105,77,,27163,6186,30302,"Delaware, USA",[],[],en,2021-04-12 21:19:33,,Huawei To Invest $1 Billion on Car Tech It Says Surpasses Tesla https://t.co/4fBmJIqhd8,0.0,0.0
2,False,0,0,261,3,,8957,1531,1697,,[],[],en,2021-04-12 21:19:35,,@RRRawlings @elonmusk @Tesla @GasMonkeyGarage THE TEXAS TESLA ! Yes!!!,0.0,0.0
3,False,0,0,0,0,,49,10,45,,[],[],und,2021-04-12 21:19:37,,https://t.co/mkiKLDfucn,0.0,0.0
4,False,3,0,198,1,,1724,890,3514,,[],[],en,2021-04-12 21:19:38,,RT @aa_dhef: @binance @Tesla $SHIB TO THE MOON🚀🚀🚀,0.0,0.0
5,False,575,0,135,0,,3881,2253,4366,girona,[],[],en,2021-04-12 21:19:41,,RT @Rainmaker1973: You can actually kind of 'suction' plasma with a Tesla coil and a syringe helped by a nail [source and full video: https…,0.475,0.725
6,True,0,3,228,6,,3153,465,13183,Sydney NSW 🇦🇺,[],[],en,2021-04-12 21:19:43,,@zoppla @_TeslaTom @elonmusk @Tesla @teslaownersau @PhantomLaneFour @TeslaStraya @TeslaGong @sydney_ev @DrSallyL Of… https://t.co/txFLXjGtfX,0.0,0.0
7,False,0,0,3,0,,71,129,155,"Alvin, Texas",[],[],en,2021-04-12 21:19:45,,@Tesla @elonmusk @cookie_esq There's no end to your group's ingenuity  onward.,0.0,0.0
8,False,0,0,0,0,,13,7,0,,[],[],en,2021-04-12 21:19:46,,1940s declassified black hole-time travel tech (tesla- einstein ) demons... https://t.co/I91QmPUVcT via @YouTube,-0.167,0.433
9,False,0,0,122,2,,1661,524,4247,Germany,[],[],en,2021-04-12 21:19:47,,@binance @Tesla Coinbase,0.0,0.0
10,False,14,0,15,0,,145,73,265,"LAX, Los Angeles, CA",[],[],en,2021-04-12 21:19:49,,"RT @passthebeano: Elon Musk: ""It's like I have a money-printer on your roof!"". . $TSLA $TSLAQ",0.0,0.0
11,False,0,0,567,16,,5216,2923,83,Canada,[],[],en,2021-04-12 21:19:50,,Tesla’s Cute Butthole Easter Egg Has A Key Conceptual Flaw https://t.co/ZEektIlS9b via @jalopnik,0.25,1.0
12,False,0,0,177,0,,1563,228,6,,[],[],en,2021-04-12 21:19:55,,@BtcMeathead @Saint_BTC If you're not all-in on Bitcoin and/or Tesla  you're a moron,-0.8,1.0
13,False,0,2,9661,37,,13341,4845,74373,"KSC, Kerbin",[],[],en,2021-04-12 21:19:55,,@nizarabosaad @LilAstroBxtch I’m building a Tesla coil right now!! Also a DIY Doppler radar  we’ll see if I can get that working,0.446,0.536
14,False,0,0,0,0,,4,14,0,,[],[],en,2021-04-12 21:19:59,,@binance @Tesla Where is it on listings page then??,0.0,0.0
15,True,0,0,13,0,,108,48,259,San Francisco  SUPERIOR COURT,"[26, 32, 38, 55, 70]","['SN12', 'SN13', 'SN14', 'SN15', 'FAKEFANS']",en,2021-04-12 21:19:59,,@ABernNYC @SpaceX SKIPPED #SN12 #SN13 #SN14 &amp;WENT2 #SN15 BECZ THE #FAKEFANS WERE SABOTAGING THEM🚀❗CAUSING THE OTHER… https://t.co/YNarDTZ11P,0.0,0.0
