id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text,sentiment_polarity,sentiment_subjectivity
0,False,1444,0,38,1,,452,351,306,,[13],['Binance'],en,2021-04-12 18:18:23,,RT @binance: #Binance just listed the @Tesla $TSLA stock token.. . Which stock token should we list next? ⬇️,0.0,0.0
1,True,0,0,284,0,,917,400,14,supercity,[],[],en,2021-04-12 18:18:24,,@MOIUNH @LanaCryptob @DocumentingBTC In November 2016  Tesla acquired SolarCity  thus entering the solar photovolta… https://t.co/v3JqjKS655,0.0,0.0
2,False,0,2,47,0,,6343,285,602,,[],[],en,2021-04-12 18:18:26,,@FFairing SpaceX is his pathfinder company  Tesla will come in later with electric rockets  obviously.,0.0,0.25
3,False,0,0,278,6,,13321,713,21170,"Santiago, Chile","[0, 25, 39, 53]","['impuestopALossuperricos', 'ChileInjusto', 'PiñeraLadron', 'ElPeorGobiernoDeLaHistoria']",und,2021-04-12 18:18:27,,#impuestopALossuperricos #ChileInjusto #PiñeraLadron #ElPeorGobiernoDeLaHistoria https://t.co/xtQFCDxOn3,0.0,0.0
4,True,0,4,3237,49,,6189,54,9808,,[],[],en,2021-04-12 18:18:28,,@EvrybodynthrMom @Goldfiinger77 As I have said before  there will be super huge demand for Teslas at $20/$25k. By 2… https://t.co/SEMGopYUbK,0.367,0.783
5,False,280,0,1317,0,,36377,1327,64345,,[],[],es,2021-04-12 18:18:31,,"RT @EPInforma: Alejandra Matus: . . ""Nuestros millonarios no han inventado la cura del cáncer tampoco han inventado un ingenio tecnológico co…",0.0,0.0
6,False,4962,0,11,1,,72,263,651,,[50],['Binance'],en,2021-04-12 18:18:32,,RT @binance: Introducing tradable stock tokens on #Binance! . . Trade digital tokens that represent fully backed shares of equity stock.. . Fir…,0.0,0.0
7,False,2,0,43,0,,8150,415,8774,,"[81, 93]","['tsla', 'teslastock']",en,2021-04-12 18:18:34,,RT @Lusiano_G: What’s your favorite stock to invest in &amp; why is it Tesla?? 🚗 #tsla $tsla #teslastock,0.5,1.0
8,False,0,1,38,1,,452,351,306,,"[43, 50, 57]","['BRG', 'JULD', 'LEAD']",en,2021-04-12 18:18:34,,@binance @Tesla Just Choose one from them🚀. #BRG   #JULD  #LEAD,0.0,0.0
9,False,280,0,1407,0,,41109,1355,26367,,[],[],es,2021-04-12 18:18:35,,"RT @EPInforma: Alejandra Matus: . . ""Nuestros millonarios no han inventado la cura del cáncer tampoco han inventado un ingenio tecnológico co…",0.0,0.0
10,False,1444,0,1555,25,,110580,1804,101288,DC,[13],['Binance'],en,2021-04-12 18:18:36,,RT @binance: #Binance just listed the @Tesla $TSLA stock token.. . Which stock token should we list next? ⬇️,0.0,0.0
