id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text,sentiment_polarity,sentiment_subjectivity
0,False,2466,0,0,0,,5,35,2,,[],[],en,2021-04-12 19:48:52,,RT @cz_binance: Thanks to @elonmusk for bringing crypto to Tesla  so we're bringing Tesla to crypto.,0.2,0.2
1,False,23,0,148,2,,3558,479,5151,Catalunya,[],[],es,2021-04-12 19:48:54,,RT @Alzado36: Captura de pantalla de un twitt del famoso CEO de Tesla Elon Musk.. . En unos minutos el tuit fue eliminado por él mismo. . . ¿Sa…,0.0,0.0
2,False,311,0,13,0,,152,88,237,Not far from the moon,[],[],en,2021-04-12 19:48:54,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
3,False,311,0,0,0,,21,10,36,,[],[],en,2021-04-12 19:48:54,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
4,False,311,0,0,0,,41,8,97,,[],[],en,2021-04-12 19:48:57,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
5,True,0,2,344,0,,12970,1195,67612,"Orange, CA",[],[],en,2021-04-12 19:48:58,,@shawnfielding22 @NoahGunderson1 @szechuan_sean Tesla begs to differ  but regardless  again  if the car is the dang… https://t.co/QzvcgC7Tpn,0.0,0.0
6,False,0,0,38,0,,263,186,132,"Federal Capital Territory, Nig",[16],['BTA'],und,2021-04-12 19:48:59,,@binance @Tesla #BTA,0.0,0.0
7,True,0,0,181,0,,6193,0,2,,[],[],tr,2021-04-12 19:48:59,,"Elon Musk'ın kurduğu ve Las Vegas'ta ""Vegas döngüsü"" adı verilen tünel yolu  Tesla'nın sürücüsüz araçları yolcuları… https://t.co/ahItkTiAdB",0.0,0.0
8,False,0,1,4185,111,,2684,467,1931,"Vail, Colorado",[],[],en,2021-04-12 19:49:00,,@capitalistexp Show the China and Germany pie charts then ask how Tesla factories in those countries is making the planet greener?,0.0,0.0
9,False,23,0,2332,2,,29811,4914,23074,,[],[],es,2021-04-12 19:49:01,,RT @Alzado36: Captura de pantalla de un twitt del famoso CEO de Tesla Elon Musk.. . En unos minutos el tuit fue eliminado por él mismo. . . ¿Sa…,0.0,0.0
10,False,276,0,82966,240,,5377,63578,18567,En la Parra,[],[],en,2021-04-12 19:49:02,,RT @NeerajKA: TIME is holding bitcoin https://t.co/DqN9DnWyVU,0.0,0.0
11,False,37,0,122,1,,8437,574,79158,"Granite City, IL",[],[],en,2021-04-12 19:49:02,,RT @Joshuajammes: I’ve made a decent chunk of change with $GME &amp; $AMC by doing the complete opposite of what the media says lol,0.267,0.442
12,False,311,0,2,0,,14,11,17,,[],[],en,2021-04-12 19:49:03,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
13,False,0,6,212,2,,13795,149,59036,Westerwaldkreis,[],[],de,2021-04-12 19:49:04,,@MarkusDrescher joa Mustangs sind nice aber sonst Tesla Model S/3 oder so https://t.co/520FawKS4j,0.6,1.0
14,False,311,0,11,0,,150,37,526,,[],[],en,2021-04-12 19:49:04,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
15,False,311,0,41,0,,449,278,1332,,[],[],en,2021-04-12 19:49:04,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
16,False,311,0,13,0,,358,33,700,,[],[],en,2021-04-12 19:49:05,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
17,False,0,0,13,1,,140,104,398,"Arizona, USA",[],[],es,2021-04-12 19:49:06,,@binance @Tesla Theta,0.0,0.0
18,False,2,0,57,0,,256,272,104,,"[18, 95, 101, 109, 120]","['Tesla', 'TSLA', 'tesla', 'ElonMusk', 'Musk']",es,2021-04-12 19:49:08,,RT @InvestingMx: 🚀#Tesla llega a 700 dólares por acción este lunes.🚀. . https://t.co/Cf3Dh8v4FL. . #TSLA. #tesla . #ElonMusk . #Musk https://t.co/…,0.0,0.0
19,False,311,0,61,0,,402,28,1062,Earth,[],[],en,2021-04-12 19:49:10,,RT @sbink: I am happy to announce we have received the donation from the ELONGATE community.. On behalf of the whole Ocean Cleanup crew: Tha…,0.5,0.7
20,False,54,0,1,0,,25,16,31,,[],[],en,2021-04-12 19:49:10,,"RT @heydave7: “Tesla’s long-term competitive advantage will be manufacturing."" - @elonmusk . . (10 second clip first shown at 25% speed  then…",0.125,0.167
21,False,0,0,1278,0,,80068,1070,39393,,[],[],en,2021-04-12 19:49:12,,I want a Tesla 🙄,0.0,0.0
22,False,31,0,3317,9,,26857,2598,15435,"South Houston, TX",[],[],en,2021-04-12 19:49:13,,RT @RapAllStars: Producer London On Da Track surprised Summer Walker with a new Tesla for her birthday 🎁 https://t.co/lBtxpdPnuR,0.118,0.677
